story;Geschichte;0;
cheese;Käse;0;
a.m.;morgens;0;2018-05-18
p.m.;Nachmittags;0;
surprise;Überraschung;0;
Cooking Club;Koch AG;0;2018-05-18
club;Verein;0;
by bike;mit dem Fahrrad;0;
sit down;hinsetzen;0;
have breakfast;frühstücken;0;
Time to get up;Es ist Zeit zum aufstehen;0;
tidy;aufräumen;0;
Is this how you;Machst du so;0;
sleep;schlafen;0;
go to bed;ins Bett gehen;1;2018-05-19
What's the time;Wie spät ist es;0;
Monday;Montag;0;2018-05-19
Tuesday;Diensttag;0;
Wednesday;Mittwoch;0;
Thursday;Donnerstag;0;
Friday;Freitag;0;
Saturday;Samstag;0;
Sunday;Sonntag;0;
watch tv;fernsehen;0;2018-05-18
every;jeder;0;
come;kommen;0;
home;zu Hause;0;
dinner;Abendessen;0;2018-05-17
at 7.30;um halb acht;0;
then;dann;0;
never;nie;0;
morning;Morgen;0;
stepmum;Stiefmutter;0;
if;wenn;0;
till;bis;0;2018-05-04
after that;danach;0;
on Mondays;montags;0;2018-05-18
netball;Korbball;0;
right away;sofort;0;2018-05-18
other;anders;0;
often;oft;0;
in the evening;abends;0;
evening;Abend;1;2018-05-04
sometimes;manchmal;0;
to find;finden;0;
usually;normalerweise;0;
sometimes;manchmal;0;
always;immer;0;2018-05-17
I have a bath.;Ich bade.;0;
I get dressed.;Ich ziehe mich an.;0;
I have lunch.;Ich esse zu Mittag.;0;2018-05-18
I have dinner.;Ich esse zu Abend.;0;
I have tea for breakfast.;Immer zum Frühstück haben gesagt.;0;
For breakfast I have juice.; Ich trinke Saft zum Frühstück.;0;
Marmalade is made from oranges.;Marmalade wird aus Orangen gemacht.;0;
Jam is made from different fruits.;Jam wird aus unterschiedlichen Früchten hergestellt.;0;
I go to school by bike.;Ich fahre mit dem Fahrrad zur Schule.;0;
I go to school by train.;Ich fahre mit dem Zug zur Schule.;0;
I get a ride to school.;Ich werde zur Schule gefahren.;0;2018-05-18
My dad takes me to school.;Meine Papa fährt mich zur Schule.;0;
I take the bus home.;Ich fahre mit dem Bus nach Hause.;0;
My favourite subject is...;Mein Lieblingsfach ist...;0;
I am good at Maths.;Ich bin gut in Mathe.;0;
I am bad at Maths.;Ich bin schlecht in Mathe.;0;
I hate boring lessons.;Ich hasse langweilige Unterrichtsstunden.;0;
One lesson is 90 minutes.;Eine Stunde dauert 90 Minuten.;0;
a five minutes break;eine fünf Minuten Pause.;0;2018-05-18
School has finished for today.;Die Schule ist für heute aus.;0;
usually;normalerweise;0;
long;lang;0;
I'm dog-tired.;Ich bin Hundemüde;0;
tired;müde;0;
afternoon;Nachmittag;0;
perfect;perfekt;0;
to snore;schnarchen;0;2018-05-18
roommate;Zimmergenosse;0;
coach;Trainer;1;2018-05-18
move;Bewegung;0;
bad;schlecht:schlimm:böse;0;
last;letzter;0;
tomorrow;morgen;0;
She gets on my nerves.;Sie geht mir auf die Nerven.;0;
granny;Oma;0;
look after;aufpassen;0;
ask;fragen;0;
talk;reden;0;
stop;aufhören;0;
chat;plaudern:chatten;0;
even;sogar:selbst;0;2018-05-18
friendly;freundlich:nett;0;
work;Arbeit;0;
vet;Tierarzt:Tierärztin;0;
neighbour;Nachbar;0;
take;nehmen;0;
pet;Haustier;0;
surgery;Praxis;0;
Be careful!;Vorsicht!;0;
why;warum;0;
cooking;Kochen;0;
dialogue;Gespräch;0;
find out;herausfinden;0;
situation;Situation;0;
speaker;Redner:Sprecher;0;
What is ... about?;Worum geht es in ...?;0;
be about;sich handeln um;0;
under;unter;0;
help;helfen;0;
collect;sammeln;0;
new;neu;1;2018-05-17
small;klein;0;
sister;Schwester;0;
brother;Bruder;0;
father;Vater;0;
mother;Mutter;0;
cousin;Cousin/Cousine;0;
its;sein;0;
or;oder;0;
more;mehr;1;2018-05-19
fantasy;Fantasie;0;
draw;zeichnen;0;
help;Hilfe;0;
step;Schritt;0;
busy;beschäftigt;0;
model;Modell;0;
Who...for;Für wen;0;
who;wer;0;
explore;entdecken;0;
best;bester;0;
bag;Tüte;0;
maybe;vielleicht;1;2018-05-18
after;nach;0;
visit;Besuch;0;2018-05-18
outside;draußen;0;
awful;schrecklich;0;
don't worry;keine Sorge;0;
right;richtig;0;
ending;Ende;0;2018-05-19
talk about;erzählen von;0;
day;Tag;0;
happy;froh;1;2018-05-18
skates;Schlittschuhe;0;
can't;kann nicht;1;2018-05-17
meet;treffen;0;
show;zeigen;2;2018-05-18
game;Spiel;1;2018-05-18
want;wollen;0;
play;spielen;0;
boring;langweilig;0;
you're into;du magst doch;0;2018-05-18
try skating;Versuchs mal mit Inline Skating;0;
fast;schnell;0;
carpet;Teppich;1;2018-05-18
rule;Regel;0;2018-05-18
planner;Kalender;0;
lunch;Mittagessen;1;2018-05-20
cafeteria;Cafeteria;0;
money;Geld;0;
machine;Maschine;0;
pay;bezahlen;0;
finger;Finger;1;2018-05-18
buy;kaufen;0;
sweets;Süßigkeiten;0;
shop;Laden;0;
pen;Füller;0;
pencil;Bleistift;0;
colour pencil;Buntstift;0;
pencil-case;Mäppchen;0;
exercise book;Übungsheft;0;
ruler;Lineal;0;
rubber;Radiergummi;0;
uniform;Uniform;0;
art;Kunstunterricht;0;
recording studio;Aufnahmestudio;0;
tutor;Klassenlehrer/in;0;
classroom;Klassenzimmer;1;2018-05-18
classmate;Klassenkamerad/in;2;2018-05-18
have got;besitzen;0;
question;Frage;0;
test;Test;0;
today;heute;1;2018-05-13
schoolbag;Schulranzen;1;2018-05-04
good morning;Guten Morgen;0;
everyone;alle;0;2018-05-18
biro;Kugelschreiber;0;
pen;Füller;1;2018-05-18
felt tip;Filzstift;0;
rubber;Radiergummi;0;
board;Tafel;0;
desk;Schreibtisch;0;
binder;Ordner;0;
pencil sharpener;Spitzer;0;
a pair of scissors;Schere;0;2018-05-18
ink eraser;Tintenkiller;0;2018-05-19
marker;Textmarker;0;
chalk;Kreide;0;
overheadmarker;Folienstift;0;2018-05-17
set square;Geodreieck;0;
tutor group;Klasse;0;2018-05-20
him;ihn;0;
no;kein/e;0;
sing;singen;0;
dance;tanzen;1;2018-05-20
project;Projekt;0;
well;nun;0;
something;etwas;1;2018-05-18
Wait and see;warte ab;0;
teacher;Lehrer;0;
group;Gruppe;0;
everyone;alle;0;
call;nennen;0;
lots;viel;0;2018-05-13
office;Büro;0;
job;Arbeit;0;
grandparents;Großeltern;0;
talent show;Talentwettbewerb;0;
send;senden;1;2018-05-18
food;Essen;0;
carrot;Karotte;0;
pudding;Nachtisch;0;
restaurant;Restaurant;0;
pocket money;Taschengeld;0;
use;benutzen;0;
Here you are;Bitte schön;0;2018-05-13
Be polite;sei höflich;0;
lesson;Schulstunde;0;
building;Gebäude;0;
stare;starren;0;
rude;unhöflich;0;2018-05-18
funny;witzig;0;
sit;sitzen;0;
lunch break;Mittagspause;0;
them;ihnen;0;2018-05-18
forget;vergessen;1;2018-05-19
do;tun;0;
fun;lustig;0;
into;in;0;
alone;allein;0;
bring;bringen;0;
be late;zu spät kommen;0;
be;sein;1;2018-05-18
wear;tragen;0;
run;rennen;0;
homework;Hausaufgaben;0;
look;ansehen;0;2018-05-18
when;wann;1;2018-05-18
already;bereits;0;
add;hinzufügen;0;2018-05-17
chips;Pommes;0;
practice;üben;0;
spelling;Rechtschreibung;0;
need;benötigen;0;
place;Platz;0;
first;erste;0;
learn;lernen;0;
write;schreiben;0;
class;Klasse;0;
get;holen;0;
look for;suchen nach;0;
because;weil;0;
play a trick;einen Streich spielen;0;
week;Woche;0;
before;bevor;0;
work;arbeiten;0;
pair;Paar;0;
presentation;Vortrag;0;2018-05-20
recording;Aufnahme;0;
poem;Gedicht;0;
sure;sicher;0;
voice;Stimme;0;
next;nächste;0;
be jealous;neidisch sein;0;
popular;beliebt;0;
king;König;0;
Come one;Komm schon;0;
A few minutes later;Ein paar Minuten später;0;
I hear;Ich habe gehört;0;
just;nur;0;
joke;Witz;1;2018-05-19
really;wirklich;0;
much;viel;1;2018-05-18
time;Zeit;0;
know;kennen;0;
It's your turn;Du bist dran;0;
Stop it;Hör auf;0;
laugh;lachen;0;
angry;wütend;0;
He's right;Er hat recht;0;
give;geben;0;
think;denken;1;2018-05-17
make trouble;Ärger machen;0;
cheese;Käse;0;
a.m.;morgens;0;2018-05-18
p.m.;Nachmittags;0;
surprise;Überraschung;0;
Cooking Club;Koch AG;0;2018-05-19
club;Verein;0;
by bike;mit dem Fahrrad;0;
sit down;hinsetzen;0;
have breakfast;frühstücken;0;
Time to get up;Es ist Zeit zum aufstehen;0;
tidy;aufräumen;0;
Is this how you;Machst du so;0;
sleep;schlafen;0;
go to bed;ins Bett gehen;0;
What's the Time;Wie spät ist es;0;
Monday;Montag;0;
Tuesday;Diensttag;0;
Wednesday;Mittwoch;0;
Thursday;Donnerstag;0;
Friday;Freitag;0;
Saturday;Samstag;0;2018-05-18
Sunday;Sonntag;0;
every;jeder;0;
come;kommen;0;
home;zu Hause;0;2018-05-18
dinner;Abendessen;0;
at 7;um halb acht;0;
then;dann;1;2018-05-17
never;nie;0;
morning;Morgen;0;
if;wenn;0;
till;bis;0;
after that;danach;0;
on Mondays;montags;0;2018-05-20
netball;Korbball;0;
right away;sofort;0;
other;anders;0;
often;oft;0;
in the evenings;abends;0;
evening;Abend;0;2018-05-13
sometimes;manchmal;0;
to find;finden;0;
to go to an after school centre;in den Hort gehen;0;2018-05-18
to meet up with friends;sich mit Freunden treffen;0;
to have piano lessons;Klavierunterricht haben;0;
other instruments;andere Instrumente;0;
violin;Geige:Trompete:Querflöte:Saxophon:cello;0;
to belong to a football club;Mitglied in einem Fußballverein sein;0;2018-05-18
other sports;andere Sportarten;0;
hockey;Hockey/volleyball;0;
to go to Pathfinders;bei den Pfadfindern sein;0;
to be busy;viel zu tun haben;0;2018-05-18
to do homework;Hausaufgaben machen;0;
to have a shower;duschen;0;
to get dressed;sich anziehen;0;
to have a big breakfast;ausgiebig frühstücken;0;
to clean your teeth;sich die Zähne putzen;0;
to argue;sich streiten;0;
Stop arguing!;Hört auf zu streiten!;0;
be in a hurry;es eilig haben;0;
Hurry up!;Beeil dich!;0;
to leave the house;das Haus verlassen;0;
to take the bus to school;den Bus zur Schule nehmen;0;
to cycle to school;mit dem Rad zur Schule fahren;0;
to walk to school;(zu Fuß) zur Schule gehen;0;
to go to an all-day school; eine Ganztagesschule besuchen;0;
to have lessons;Unterricht haben;0;2018-05-20
Be quiet!;Seid ruhig!;0;
to chat;plaudern;0;2018-05-17
to pay attention in class;im Unterricht aufpassen;0;
to not pay attention in class;im Unterricht nicht aufpassen;0;
to tell a joke;einen Witz erzählen;0;
to fall asleep;einschlafen;0;
to have fun;Spaß haben;0;
angry;wütend;0;
beautiful;wunderschön;1;2018-05-17
big;groß;1;2018-05-18
big;dick;0;
boring;langweilig;0;
brave;mutig;0;
busy;beschäftigt;0;
clever;schlau;0;
dangerous;gefährlich;0;
fast;schnell;0;
